Name of Module,Name,Day,Start Time,End Time,Weeks,course_code,fixed_event
Informatics Research Review,Informatics Research Review - Q&A Session,Wed,14:00:00,15:00:00,Sem1 wk1-Sem1 wk10,INFR11136,False
Discrete Mathematics and Probability,Discrete Mathematics and Probability - Lecture,Mon,14:00:00,15:00:00,Sem1 wk1-Sem1 wk11,INFR08031,False
Discrete Mathematics and Probability,Discrete Mathematics and Probability - Lecture,Thu,14:00:00,15:00:00,Sem1 wk1-Sem1 wk11,INFR08031,False
Machine Learning and Pattern Recognition,Machine Learning and Pattern Recognition - Lecture,Tue,09:00:00,10:00:00,Sem1 wk1-Sem1 wk10,INFR11130,False
Machine Learning and Pattern Recognition,Machine Learning and Pattern Recognition - Lecture,Thu,09:00:00,10:00:00,Sem1 wk1-Sem1 wk10,INFR11130,False
Machine Learning and Pattern Recognition,Machine Learning and Pattern Recognition - Lecture,Wed,09:00:00,10:00:00,Sem1 wk1-Sem1 wk10,INFR11130,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Tutorials/01,Thu,09:30:00,11:00:00,Sem1 wk2-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Tutorials/02,Thu,09:30:00,11:00:00,Sem1 wk2-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Tutorials/03,Thu,09:30:00,11:00:00,Sem1 wk2-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Tutorials/04,Thu,09:30:00,11:00:00,Sem1 wk2-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Tutorials/05,Thu,09:30:00,11:00:00,Sem1 wk2-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Tutorials/06 <11-19>,Fri,10:30:00,12:00:00,Sem1 wk3-Sem1 wk11,INFR08025,False
